Assembly	Trinity
# contigs (>= 0 bp)	41927
# contigs (>= 1000 bp)	16198
# contigs (>= 5000 bp)	725
# contigs (>= 10000 bp)	17
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	49272836
Total length (>= 1000 bp)	38343906
Total length (>= 5000 bp)	4565001
Total length (>= 10000 bp)	231263
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	23882
Largest contig	17283
Total length	43820619
GC (%)	48.28
N50	2403
N75	1486
L50	5979
L75	11747
# N's per 100 kbp	0.00
